brand,name,image,price
Red Tape,Men Non-Slip Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25379468/2023/10/7/0221d379-995f-40b8-a379-1828831099221696658814799RedTapeMenBlueTexturedPUSlip-OnSneakers1.jpg",Rs. 5899
Red Tape,Men Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19439150/2022/8/8/5d469f4d-d730-45ac-9cf3-a7a1643a92171659969019525CasualShoes1.jpg",Rs. 5199
Red Tape,Men Textured Lace-Up Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24000868/2023/7/13/2d783b80-6fbf-4ae2-bd7d-de9575ed815b1689232501030RedTapeMenWhitePrintedSneakers1.jpg",Rs. 5599
Red Tape,Men Slip Resistant Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23869888/2023/7/4/18b71305-c47e-4055-a05b-37f068a6d9d91688473226706RedTapeMenWhiteStripedPUSneakers1.jpg",Rs. 5499
Puma,Men Comp Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15948856/2022/11/6/e49e0d62-8418-4ef2-aa61-00165b7a95281667717408424PumaMenBlackTrekkingShoes1.jpg",Rs. 4299
Red Tape,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21926416/2023/2/10/ef325cbf-b4a2-4bbe-9742-c41f46c6a6c31676027398768RedTapeMenWhiteColourblockedSneakers1.jpg",Rs. 5799
U.S. Polo Assn.,Men MADRYN 2.O Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15761644/2023/8/28/050592ca-fc59-416e-bdbc-6f9d0fa9b5e71693219873193-US-Polo-Assn-Men-Off-White-MADRYN-2O-Sneakers-42169321987310-6.jpg",Rs. 3399
Nike,Men Killshot Leather Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719594/2023/7/14/aba003f8-e86f-4de5-8cb6-62baeab48c4f1689330021446NikeMenKillshot2LeatherSneakers1.jpg",Rs. 7995
Red Tape,Men Mesh Lace-Ups Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24846080/2023/9/7/1475c606-963f-4c6e-9b1b-8128d305af411694078784724RedTapeMenBlackSneakers1.jpg",Rs. 5599
Red Tape,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21725598/2023/1/27/d2da82ec-a602-484d-b252-b5ab8d5bb21b1674818271559CasualShoes1.jpg",Rs. 6899
Red Tape,Men Slip Resistant Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24804430/2023/9/5/6a6bb8de-eea9-453f-b7a9-6103556a64751693896156576RedTapeMenWhiteColourblockedPUSneakers1.jpg",Rs. 5899
Nike,Men Air Force 1 '07 Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24426382/2023/8/10/182aa6a0-62cf-4d3a-9e4b-791b2abd87aa1691658987518NikeMenPerforationsSneakers1.jpg",Rs. 10795
Nike,Men Air Force Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24426378/2023/8/11/d82409c1-0310-4ec0-a0a5-ec65d773dd421691728091495NikeMenAirForce107Sneakers5.jpg",Rs. 8195
Red Tape,Men Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24615302/2023/8/24/ab77f499-87c9-4911-8695-1bfad36bf9611692856223127RedTapeMenWhitePerforationsSneakers1.jpg",Rs. 5599
U.S. Polo Assn.,Men Solid PU Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20874194/2023/9/13/d99d911e-c4ee-4849-9c55-c790933db6fa1694607129021-U-S-Polo-Assn-Men-Black-Solid-PU-Loafers-4401694607128903-12.jpg",Rs. 3799
Red Tape,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837976/2023/7/1/58984184-0b67-4e40-8202-af7b61e65f251688202092967RedTapeMenBlackColourblockedPUSneakers1.jpg",Rs. 5999
U.S. Polo Assn.,Men Canvas Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15002380/2023/8/28/91ad063e-1c43-47fa-b3a6-d187904a06051693219853874-U-S-Polo-Assn-Men-Black-Canvas-Sneakers-2231693219853726-6.jpg",Rs. 2999
Puma,Men Dynamite Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19150580/2023/7/29/916436d6-63fd-4767-82e3-876f90980d8f1690627057101-Puma-Men-Grey-Dynamite-Slip-On-Sneakers-5421690627056714-1.jpg",Rs. 4999
