brand,name,image,price,
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22153994/2023/3/7/b41ac0e1-7777-4e03-bc75-cdd9f74120af1678170022270-PUMA-C-Block-Mens-Shoes-5041678170021912-1.jpg",Rs. 4499,
Puma,Men C-Block Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20695816/2022/11/29/d3c07453-233c-4474-947e-eeb9c227b29b1669708286966-Puma-Men-Black-Solid-C-Block-Sneakers-841669708286580-1.jpg",Rs. 4499,
Puma,Punch Comfort Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805372/2023/4/18/fb680a6d-47d0-46bf-ac80-aef37d4e832d1681793219800PumaPunchComfortUnisexSneakers1.jpg",Rs. 3299,
Nike,Men Court Vision Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21252268/2023/1/9/f92512de-8aea-4ada-98cb-10a47fe0dea41673263756040-Nike-Court-Vision-Mid-Next-Nature-Mens-Shoes-376167326375571-1.jpg",Rs. 5995,
Puma,Unisex Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17543090/2022/5/4/f68a8ddc-5ee7-4469-9835-031935d4ff4a1651653082780PumaUnisexGreySneakers1.jpg",Rs. 4499,
Nike,Men Solid Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18800714/2022/6/29/d9dffafd-b4de-4404-8d0a-96ff7525daf01656497763076-Nike-Court-Legacy-Mens-Shoes-6221656497762754-1.jpg",Rs. 5695,
Puma,Men Unleash IMEVA Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22275512/2023/4/5/f98d43c0-b520-4a1f-ab42-4a357594adf31680687161589PumaUnleashMensSneakers1.jpg",Rs. 4299,
Converse,Unisex Run Star Legacy CX,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24071810/2023/7/18/eacf9da6-28af-4100-a200-a8f9e79cb8e31689687751416ConverseUnisexLavenderPrintedSneakers1.jpg",Rs. 7499,
Converse,Unisex Comfort Insole Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25062056/2023/9/21/a3a8e7f6-ddcb-423d-afe8-ef84e447a36c1695269965229ConverseUnisexPinkSneakers1.jpg",Rs. 3999,
Nike,Men Air Max Bolt Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23314918/2023/5/22/145f3a50-9630-44ae-9acf-60745af9469b1684733654045NikeAirMaxBoltMensShoe1.jpg",Rs. 8195,
Converse,Unisex Canvas Casual Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25062016/2023/9/21/424a1a25-7a7e-40c0-88c6-4e3882435e751695271401101ConverseUnisexWhiteSneakers1.jpg",Rs. 5499,
Puma,Kenton Textile Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805342/2023/4/18/908fef67-e484-4ffa-b8d5-c835993b6a081681790442648PUMAKentonMensShoes1.jpg",Rs. 4499,
Nike,Men Air Max TW Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24109702/2023/7/20/1a41456d-71fd-4795-9f49-54fae5b2cfed1689831485723NikeAirMaxTWMensShoes1.jpg",Rs. 14995,
Nike,Men Air Max SYSTM Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24109752/2023/7/20/4d446262-c378-4b79-bb21-336290901d691689846644854NikeAirMaxSYSTMMenTexturedSneakers1.jpg",Rs. 8595,
Nike,Men E-Series AD Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23719590/2023/7/14/44a29934-ae9b-4171-ba05-1c617e71856f1689330029120NikeMenE-SeriesADSneakers1.jpg",Rs. 6295,
Puma,Unisex Sunny Jr V1 Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19656296/2022/8/25/a774889a-fbd7-4081-bc75-7d6b3723f8181661437167866PumaSunnyJrV1UnisexSneakers1.jpg",Rs. 2999,
Puma,Men Impel Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20993438/2022/11/30/851af750-fe1d-4b99-8991-81abeea6b9ab1669804336056PumaImpelMensShoes1.jpg",Rs. 4499,
